symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,cond8,bars,tv_median20,distance_to_52w_high,met_count,close,volume,date,rs_score,rs_benchmark,recommended_rs_pass,recommended_distance_to_high_pass
GSIW,True,True,True,True,True,True,True,True,330,90643.00003051758,0.18705796007814846,7,30.0,2200.0,2026-04-24,99.99,SPY,True,False
MRSN,True,True,True,True,True,True,True,True,330,1874001.3325634003,0.04310626825443786,7,29.07999992370605,0.0,2026-01-06,99.96,SPY,True,True
WATT,True,True,True,True,True,True,True,True,330,6900871.977996826,0.003534831326740595,7,28.190000534057617,480700.0,2026-04-24,99.93,SPY,True,True
NKTR,True,True,True,True,True,True,True,True,330,56453451.978302,0.1588990797690295,7,91.68000030517578,922200.0,2026-04-24,99.92,SPY,True,False
RAPT,True,True,True,True,True,True,True,True,330,25461485.733551025,8.614469164902605e-05,7,58.005001068115234,0.0,2026-03-06,99.91,SPY,True,True
AXTI,True,True,True,True,True,True,True,True,330,908125363.8513565,0.15471692617193133,7,76.16000366210938,15469000.0,2026-04-24,99.9,SPY,True,False
SNSE,True,True,True,True,True,True,True,True,330,1202656.0096740723,0.13520124137477296,7,31.790000915527344,6100.0,2026-04-24,99.88,SPY,True,True
MKDW,True,True,True,True,True,True,True,True,330,191532.49983787537,0.20333332485622835,7,7.170000076293945,17400.0,2026-04-24,99.87,SPY,True,False
NINE,True,True,True,True,True,True,True,True,330,299657.4966907501,0.10666665576753165,7,9.380000114440918,37600.0,2026-04-24,99.85,SPY,True,True
STRO,True,True,True,True,True,True,True,True,330,6303692.268562317,0.0741666158040365,7,33.33000183105469,344400.0,2026-04-24,99.83,SPY,True,True
MCVT,True,True,True,True,True,True,True,True,330,130783.50048065186,0.005257205935428444,7,26.489999771118164,4100.0,2026-04-24,99.8,SPY,True,True
QDMI,True,True,True,True,True,True,True,True,330,0.0,0.17410825484952264,7,69.91999816894531,0.0,2026-04-24,99.78,SPY,True,False
SNDK,True,True,True,True,True,True,True,True,300,12487436178.323364,0.012164578146394933,7,989.9000244140624,11603800.0,2026-04-24,99.76,SPY,True,True
RLYB,True,True,True,True,True,True,True,True,330,311207.49864578247,0.24891207255428183,7,8.630000114440918,32500.0,2026-04-24,99.75,SPY,True,False
IKNA,True,True,True,True,True,True,True,True,330,302692.940956831,0.027210859344927396,7,17.15999984741211,457262.0,2025-07-25,99.74,SPY,True,True
PLRZ,True,True,True,True,True,True,True,True,330,497280.0130844116,0.14505495783816502,7,15.5600004196167,64000.0,2026-04-24,99.72,SPY,True,True
ASRT,True,True,True,True,True,True,True,True,330,3917443.5550689697,0.11784839889980037,7,18.040000915527344,141200.0,2026-04-24,99.71,SPY,True,True
BW,True,True,True,True,True,True,True,True,330,48788371.09565735,0.2287233729554592,7,14.5,4158900.0,2026-04-24,99.69,SPY,True,False
DULL,True,True,True,True,True,True,True,True,330,667000.1998901367,0.24562643394552786,7,50.27899932861328,2400.0,2026-04-24,99.65,SPY,True,False
