symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,met_count,rs_score,cond8,fin_met_count,has_error,rs_score_fin,rs_percentile,fin_percentile,total_percentile,total_met_count
MRSN,True,True,True,True,True,True,True,8,99.96,True,6.0,False,99.96,99.88789237668162,70.37037037037037,170.258262747052,14.0
IKNA,True,True,True,True,True,True,True,8,99.75,True,6.0,False,99.75,99.2152466367713,70.37037037037037,169.58561700714165,14.0
BDSX,True,True,True,True,True,True,True,8,99.65,True,6.0,False,99.65,98.87892376681614,70.37037037037037,169.2492941371865,14.0
ASRT,True,True,True,True,True,True,True,8,99.61,True,6.0,False,99.61,98.65470852017935,70.37037037037037,169.02507889054974,14.0
CONI,True,True,True,True,True,True,True,8,99.59,True,6.0,False,99.59,98.542600896861,70.37037037037037,168.91297126723134,14.0
BREA,True,True,True,True,True,True,True,8,99.53,True,6.0,False,99.53,98.31838565022422,70.37037037037037,168.68875602059458,14.0
AXTI,True,True,True,True,True,True,True,8,99.47,True,6.0,False,99.47,98.20627802690582,70.37037037037037,168.5766483972762,14.0
MULL,True,True,True,True,True,True,True,8,99.4,True,6.0,False,99.4,98.09417040358744,70.37037037037037,168.46454077395782,14.0
CTEC,True,True,True,True,True,True,True,8,98.96,True,6.0,False,98.96,96.97309417040358,70.37037037037037,167.34346454077394,14.0
ANTE,True,True,True,True,True,True,True,8,98.95,True,6.0,False,98.95,96.8609865470852,70.37037037037037,167.23135691745557,14.0
GDXU,True,True,True,True,True,True,True,8,98.86,True,6.0,False,98.86,96.52466367713004,70.37037037037037,166.89503404750042,14.0
RGLS,True,True,True,True,True,True,True,8,98.82,True,6.0,False,98.82,96.30044843049326,70.37037037037037,166.67081880086363,14.0
FAZ,True,True,True,True,True,True,True,8,98.8,True,6.0,False,98.8,96.0762331838565,70.37037037037037,166.44660355422687,14.0
IPA,True,True,True,True,True,True,True,8,98.77,True,6.0,False,98.77,95.96412556053812,70.37037037037037,166.33449593090847,14.0
AGQ,True,True,True,True,True,True,True,8,98.76,True,6.0,False,98.76,95.85201793721974,70.37037037037037,166.2223883075901,14.0
NVDD,True,True,True,True,True,True,True,8,98.58,True,6.0,False,98.58,95.4035874439462,70.37037037037037,165.77395781431656,14.0
SVT,True,True,True,True,True,True,True,8,98.47,True,6.0,False,98.47,94.73094170403589,70.37037037037037,165.10131207440622,14.0
SPXS,True,True,True,True,True,True,True,8,98.37,True,6.0,False,98.37,94.39461883408072,70.37037037037037,164.76498920445107,14.0
KORU,True,True,True,True,True,True,True,8,98.34,True,6.0,False,98.34,94.17040358744396,70.37037037037037,164.54077395781434,14.0
GNOM,True,True,True,True,True,True,True,8,98.19,True,6.0,False,98.19,93.38565022421524,70.37037037037037,163.7560205945856,14.0
FIAT,True,True,True,True,True,True,True,8,98.03,True,6.0,False,98.03,92.71300448430492,70.37037037037037,163.0833748546753,14.0
JNUG,True,True,True,True,True,True,True,8,97.96,True,6.0,False,97.96,92.48878923766816,70.37037037037037,162.8591596080385,14.0
NVOX,True,True,True,True,True,True,True,8,97.93,True,6.0,False,97.93,92.37668161434978,70.37037037037037,162.74705198472014,14.0
NUGT,True,True,True,True,True,True,True,8,97.83,True,6.0,False,97.83,91.92825112107624,70.37037037037037,162.2986214914466,14.0
SKYT,True,True,True,True,True,True,True,8,97.81,True,6.0,False,97.81,91.81614349775784,70.37037037037037,162.1865138681282,14.0
RVRC,True,True,True,True,True,True,True,8,97.71,True,6.0,False,97.71,91.3677130044843,70.37037037037037,161.73808337485468,14.0
DALN,True,True,True,True,True,True,True,8,97.64,True,6.0,False,97.64,90.91928251121077,70.37037037037037,161.28965288158113,14.0
VIGL,True,True,True,True,True,True,True,8,97.33,True,6.0,False,97.33,89.46188340807176,70.37037037037037,159.83225377844212,14.0
PHLT,True,True,True,True,True,True,True,8,97.17,True,6.0,False,97.17,88.67713004484304,70.37037037037037,159.0475004152134,14.0
RNRG,True,True,True,True,True,True,True,8,97.11,True,6.0,False,97.11,88.2286995515695,70.37037037037037,158.59906992193987,14.0
SOXL,True,True,True,True,True,True,True,8,97.1,True,6.0,False,97.1,88.11659192825113,70.37037037037037,158.4869622986215,14.0
SATX,True,True,True,True,True,True,True,8,96.97,True,6.0,False,96.97,87.10762331838565,70.37037037037037,157.47799368875602,14.0
DIST,True,True,True,True,True,True,True,8,96.74,True,6.0,False,96.74,85.65022421524664,70.37037037037037,156.020594585617,14.0
SIVR,True,True,True,True,True,True,True,8,96.38,True,6.0,False,96.38,83.5201793721973,70.37037037037037,153.89054974256766,14.0
SLV,True,True,True,True,True,True,True,8,96.37,True,6.0,False,96.37,83.40807174887892,70.37037037037037,153.7784421192493,14.0
GOOX,True,True,True,True,True,True,True,8,96.22,True,6.0,False,96.22,82.7354260089686,70.37037037037037,153.10579637933898,14.0
KROP,True,True,True,True,True,True,True,8,96.2,True,6.0,False,96.2,82.51121076233184,70.37037037037037,152.8815811327022,14.0
GGLL,True,True,True,True,True,True,True,8,96.08,True,6.0,False,96.08,81.61434977578476,70.37037037037037,151.98472014615513,14.0
SLVP,True,True,True,True,True,True,True,8,96.06,True,6.0,False,96.06,81.50224215246637,70.37037037037037,151.87261252283673,14.0
SLVR,True,True,True,True,True,True,True,8,96.03,True,6.0,False,96.03,81.39013452914799,70.37037037037037,151.76050489951837,14.0
BWET,True,True,True,True,True,True,True,8,95.91,True,6.0,False,95.91,80.49327354260089,70.37037037037037,150.86364391297127,14.0
VRNA,True,True,True,True,True,True,True,8,95.88,True,6.0,False,95.88,80.26905829596413,70.37037037037037,150.63942866633448,14.0
