symbol,sector,pe_ratio,market_cap,revenue_growth,industry,forward_pe,enterprise_value,earnings_growth,profit_margin,operating_margin,return_on_equity,return_on_assets,debt_to_equity,current_ratio,quick_ratio,dividend_yield,payout_ratio,beta,shares_outstanding,float_shares,short_ratio,book_value,price_to_book,price_to_sales,enterprise_to_revenue,enterprise_to_ebitda,last_updated,error
A,Healthcare,29.51724,34042347520.0,0.06,Diagnostics & Research,21.210619,36240318464.0,-0.286,0.17592,0.23561001,0.18882999,0.08462,60.039,2.091,1.417,0.83,0.2384,1.232,284064992.0,282971079.0,1.92,21.611,5.545324,5.136142,5.468,19.749,2025-07-30T20:59:42.965705,
AA,Basic Materials,18.33735,7880976896.0,0.039,Aluminum,9.542319,9123920896.0,4.636,0.07858,0.04639,0.17149,0.07059,42.614,1.651,0.832,1.31,0.241,2.253,258902000.0,256929936.0,2.43,23.696,1.284605,0.61680967,0.714,4.014,2025-07-30T20:59:42.861500,
AAA,,,,,,,,,,,,,,,,5.69,,,,,,,,,,,2025-07-30T20:59:42.769015,
AAAU,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2025-07-30T20:59:43.044430,
AACB,Financial Services,,298116000.0,,Shell Companies,,297759872.0,,0.0,0.0,,,,,,,,,23650000.0,23449734.0,0.23,-0.433,-23.418015,,,,2025-07-30T20:59:43.150931,
AACBR,,,,,,,,,0.0,0.0,,,,,,,,,,23449734.0,,-0.433,-0.55404156,,,,2025-07-30T20:59:44.121910,
AACBU,Financial Services,,259302512.0,,Shell Companies,,302463872.0,,0.0,0.0,,,,,,,,,25175000.0,23449734.0,0.04,-0.433,-23.787529,,,,2025-07-30T20:59:44.318890,
AACG,Consumer Defensive,,40311752.0,0.159,Education & Training Services,-1.2875758,88442120.0,,-0.11422,-0.30094,-0.38756,-0.05153,70.661,0.197,0.112,,0.0,0.829,31624500.0,18481058.0,6.07,2.092,0.60932124,0.14620261,0.321,-6.609,2025-07-30T20:59:44.420476,
AACI,,,397660256.0,,,,,,,,,,,,,,,,23710000.0,,,-0.003,-3358.3333,,,,2025-07-30T20:59:44.502790,
AACIU,,,,,,,,,,,,,,,,,,,,,,-0.003,-3400.0,,,,2025-07-30T20:59:44.606204,
AACIW,,,,,,,,,,,,,,,,,,,,,,-0.003,-86.666664,,,,2025-07-30T20:59:45.739061,
AACT,Financial Services,30.864864,706437760.0,,Shell Companies,,710780608.0,-0.532,0.0,0.0,,-0.0046200003,,0.242,0.213,,0.0,-0.009,61859700.0,44593429.0,0.26,-0.396,-28.838385,,,,2025-07-30T20:59:48.664638,
AACT.U,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T20:59:45.815617,HTTP Error 404: 
AACT.W,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-07-30T20:59:45.927663,HTTP Error 404: 
