symbol,sector,pe_ratio,market_cap,revenue_growth,industry,forward_pe,enterprise_value,earnings_growth,profit_margin,operating_margin,return_on_equity,return_on_assets,debt_to_equity,current_ratio,quick_ratio,dividend_yield,payout_ratio,beta,shares_outstanding,float_shares,short_ratio,book_value,price_to_book,price_to_sales,enterprise_to_revenue,enterprise_to_ebitda,last_updated,error
A,Healthcare,29.359606,33860546560.0,0.06,Diagnostics & Research,21.097343,36058517504.0,-0.286,0.17592,0.23561001,0.18882999,0.08462,60.039,2.091,1.417,0.83,0.2384,1.219,284064992.0,282971079.0,1.69,21.611,5.5157094,5.1087127,5.44,19.65,2025-08-17T22:25:07.378557,
AA,Basic Materials,7.3750005,8096272384.0,0.039,Aluminum,9.802507,9339262976.0,4.636,0.07858,0.04407,0.17149,0.07936,42.614,1.65,0.831,1.28,0.0943,2.241,258915008.0,256936615.0,2.5,23.695,1.3196877,0.6336599,0.731,3.767,2025-08-17T22:25:07.593376,
AAA,,,,,,,,,,,,,,,,5.5,,,,,,,,,,,2025-08-17T22:25:07.706775,
AAAU,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2025-08-17T22:25:07.787238,
AACB,Financial Services,,280209376.0,,Shell Companies,,297434624.0,,0.0,0.0,,,,,,,,,22175000.0,23649948.0,0.19,-0.441,-22.959183,,,,2025-08-17T22:25:07.974279,
AACBR,,,,,,,,,0.0,0.0,,,,,,,,,,23649948.0,,-0.441,-0.45351472,,,,2025-08-17T22:25:08.701325,
AACBU,Financial Services,,259554256.0,,Shell Companies,,302579616.0,,0.0,0.0,,,,,,,,,25175000.0,23649948.0,0.11,-0.441,-23.378685,,,,2025-08-17T22:25:09.011114,
AACG,Consumer Defensive,,61984020.0,0.08,Education & Training Services,-1.979798,134963616.0,,-0.09115,-0.24598,-0.37508,-0.04285,81.605,0.188,0.093,,0.0,1.042,31624500.0,18422258.0,0.62,1.764,1.111111,0.2214888,0.482,-23.229,2025-08-17T22:25:09.206852,
AACI,,,407725088.0,,,,,,,,,,,,,,,,23710000.0,,,-0.272,-37.97794,,,,2025-08-17T22:25:09.287226,
AACIU,,,,,,,,,,,,,,,,,,,,,,-0.272,-39.191174,,,,2025-08-17T22:25:09.469702,
AACIW,,,,,,,,,,,,,,,,,,,,,,-0.272,-2.6430147,,,,2025-08-17T22:25:10.188477,
AACT,Financial Services,43.769234,703963392.0,,Shell Companies,,711539136.0,-0.95,0.0,0.0,,-0.01041,,0.233,0.212,,0.0,-0.009,61859700.0,39976839.0,0.25,-0.389,-29.2545,,,,2025-08-17T22:25:10.926585,
AACT.U,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:10.722382,HTTP Error 404: 
AACT.W,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:10.621472,HTTP Error 404: 
AADR,,14.110924,,,,,,,,,,,,,,0.75,,,,,,,,,,,2025-08-17T22:25:11.305404,
AAL,Industrials,15.678572,8689947648.0,0.004,Airlines,6.519802,37317947392.0,-0.1,0.01045,0.08289,,0.027999999,,0.585,0.412,,0.0,1.431,659828992.0,653547251.0,0.92,-5.865,-2.2455244,0.16018337,0.688,7.306,2025-08-17T22:25:13.645284,
AAM,Financial Services,,459528288.0,,Shell Companies,,459663296.0,,0.0,0.0,,,0.284,0.701,0.568,,,,35349000.0,32219750.0,0.01,7.997,1.3067399,,,,2025-08-17T22:25:13.937475,
AAM.U,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:13.760047,HTTP Error 404: 
AAM.W,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-17T22:25:14.042803,HTTP Error 404: 
AAME,Financial Services,30.793,62809096.0,0.16,Insurance - Life,,59183184.0,,0.01273,0.090229996,0.02448,0.0101,40.259,1.566,1.271,0.65,0.2,0.75,20397200.0,4033552.0,0.48,5.202,0.59194535,0.3156601,0.297,8.585,2025-08-17T22:25:14.840447,
AAMI,Financial Services,19.764706,1684591872.0,0.169,Asset Management,11.120567,2030392448.0,-0.034,0.16648,0.12402,3.0102801,0.14487,412.313,1.478,1.454,0.09,0.0168,1.381,35811900.0,24272240.0,2.17,0.257,183.03502,3.130048,3.773,12.932,2025-08-17T22:25:15.159002,
AAOI,Technology,,1394542720.0,1.379,Communication Equipment,30.636986,1541065728.0,,-0.42288,-0.15517999,-0.50932,-0.05233,49.701,2.114,1.274,,0.0,2.717,62353800.0,59167564.0,2.65,6.867,3.2568808,3.7871206,4.185,-61.102,2025-08-17T22:25:15.244978,
AAON,Industrials,54.115646,6485767680.0,0.168,Building Products & Equipment,27.150171,6521212928.0,-0.686,0.09701,0.0399,0.15521,0.08053,8.581,3.104,1.951,0.5,0.2449,0.943,81530704.0,67358542.0,3.09,10.217,7.786043,5.1531973,5.181,28.481,2025-08-17T22:25:15.373487,
AAP,Consumer Cyclical,,3409541632.0,,Auto Parts,21.130112,5804544512.0,,-0.0437,0.02836,-0.24781,-0.00229,183.931,1.271,0.454,1.76,1.2658,1.077,59984900.0,59524862.0,3.12,36.717,1.5480568,0.39022708,0.664,23.682,2025-08-17T22:25:15.552290,
AAPB,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2025-08-17T22:25:16.333944,
AAPD,,,,,,,,,,,,,,,,3.14,,,,,,,,,,,2025-08-17T22:25:16.563477,
AAPG,Healthcare,,4182888192.0,0.979,Biotechnology,169.15413,14467061760.0,,-0.41342998,-3.61231,-2.35317,-0.09251001,608.581,1.264,1.171,,0.0,0.889,92963400.0,240529507.0,1.33,0.846,53.185577,4.2654243,14.753,-48.406,2025-08-17T22:25:16.742887,
AAPL,Technology,35.089394,3436888195072.0,0.096,Consumer Electronics,27.868832,3483211923456.0,0.121,0.24295999,0.29990998,1.49814,0.24545999,154.486,0.868,0.724,0.45,0.1533,1.165,14840399872.0,14814270914.0,2.05,4.431,52.26585,8.410862,8.524,24.582,2025-08-17T22:25:16.871780,
AAPR,,26.965734,,,,,,,,,,,,,,0.0,,,,,,,,,,,2025-08-17T22:25:17.040062,
