symbol,added_date,added_timestamp,company_name,skew_index,expected_return,confidence_score,base_confidence,data_source,data_quality_grade,confidence_numeric,quality_description
LH,2025-07-28 00:00:00+00:00,1753649269.40138,Labcorp Holdings Inc.,-0.1586898193359359,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
ROK,2025-07-28 00:00:00+00:00,1753649269.401398,"Rockwell Automation, Inc.",-0.4150349121093688,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
DPZ,2025-07-28 00:00:00+00:00,1753649269.401407,"Domino's Pizza, Inc.",-3.4667622070312487,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
EBAY,2025-07-28 00:00:00+00:00,1753649269.401415,eBay Inc.,-2.075174560546877,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
META,2025-07-28 00:00:00+00:00,1753649269.401422,"Meta Platforms, Inc.",-1.9714158325195352,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
GILD,2025-07-28 00:00:00+00:00,1753649269.401432,"Gilead Sciences, Inc.",-0.3662072753906231,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
NFLX,2025-07-28 00:00:00+00:00,1753649269.401441,"Netflix, Inc.",-0.3128020477294879,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
PANW,2025-07-28 00:00:00+00:00,1753649269.401451,"Palo Alto Networks, Inc.",-0.5126901855468768,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
ABNB,2025-07-28 00:00:00+00:00,1753649269.401458,"Airbnb, Inc.",-3.588831298828121,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
NOC,2025-07-28 00:00:00+00:00,1753649269.401464,Northrop Grumman Corporation,-2.8930374755859383,0.13,높음,높음,yfinance,B,90.0,양호한 품질 무료 데이터
PWR,2025-07-28 00:00:00+00:00,1753649269.401473,"Quanta Services, Inc.",-0.4577590942382803,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
CME,2025-07-28 00:00:00+00:00,1753649269.40148,CME Group Inc.,-1.940898559570312,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
RMD,2025-07-28 00:00:00+00:00,1753649269.401487,ResMed Inc.,-6.323178955078124,0.15,높음,매우 높음,yfinance,B,90.0,양호한 품질 무료 데이터
PLTR,2025-07-28 00:00:00+00:00,1753649269.401495,Palantir Technologies Inc.,-1.098621826171875,0.1,높음,중간,yfinance,B,90.0,양호한 품질 무료 데이터
CEG,2025-07-28 00:00:00+00:00,1753649269.401504,Constellation Energy Corporation,-0.4516556396484517,0.08,높음,낮음,yfinance,B,90.0,양호한 품질 무료 데이터
