family_cycle_id,scope,engine,family,symbol,opened_on,last_signal_date,buy_signal_code,screen_stage,entry_price,break_even_level,support_zone_low,support_zone_high,stop_level,trailing_level,trailing_mode,tp1_level,tp2_level,tp_plan,tp1_hit,tp2_hit,trim_count,last_trim_date,partial_exit_active,risk_free_armed,add_on_count,add_on_slot,max_add_ons,tranche_pct,next_addon_allowed,last_addon_date,pyramid_state,protected_stop_level,base_position_units,current_position_units,blended_entry_price,last_trailing_confirmed_level,last_protected_stop_level,last_pyramid_reference_level,source_tags,primary_source_style,source_fit_score,source_fit_label,addon_block_reason,trailing_ratcheted,blended_entry_protected,addon_reason_codes,addon_next_slot,addon_tranche_pct,contract_version,reference_exit_signal
TREND:TF_MOMENTUM:ACRV:2026-04-22,all,TREND,TF_MOMENTUM,ACRV,2026-04-22,2026-04-22,TF_BUY_MOMENTUM,TV_BREAKOUT_STRENGTH,1.9700000286102293,1.9700000286102293,1.27,1.7652,1.27,1.7368576341795505,MOMENTUM_RATCHET,3.0200000715255735,3.7200001001358025,TP_MOMENTUM_1P5R_2P5R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,1.7368576341795505,1.0,1.0,1.9700000286102293,1.7368576341795505,1.7368576341795505,1.7368576341795505,['TV_BREAKOUT_STRENGTH'],BREAKOUT,86.0,PRIMARY,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_RATCHET']",1.0,0.5,v2,
TREND:TF_MOMENTUM:ACRV:2026-04-22,screened,TREND,TF_MOMENTUM,ACRV,2026-04-22,2026-04-22,TF_BUY_MOMENTUM,TV_BREAKOUT_STRENGTH,1.9700000286102293,1.9700000286102293,1.27,1.7652,1.27,1.7368576341795505,MOMENTUM_RATCHET,3.0200000715255735,3.7200001001358025,TP_MOMENTUM_1P5R_2P5R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,1.7368576341795505,1.0,1.0,1.9700000286102293,1.7368576341795505,1.7368576341795505,1.7368576341795505,['TV_BREAKOUT_STRENGTH'],BREAKOUT,86.0,PRIMARY,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_RATCHET']",1.0,0.5,v2,
TREND:TF_MOMENTUM:ADEA:2026-04-22,all,TREND,TF_MOMENTUM,ADEA,2026-04-22,2026-04-22,TF_BUY_MOMENTUM,INTEGRATED,30.489999771118164,30.489999771118164,22.575,28.3332,22.575,28.333216256189928,MOMENTUM_RATCHET,42.36249942779541,50.277499198913574,TP_MOMENTUM_1P5R_2P5R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,28.333216256189928,1.0,1.0,30.489999771118164,28.333216256189928,28.333216256189928,28.333216256189928,['MM_INTEGRATED'],LEADERSHIP,100.0,PRIMARY,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_RATCHET']",1.0,0.5,v2,
TREND:TF_MOMENTUM:ADEA:2026-04-22,screened,TREND,TF_MOMENTUM,ADEA,2026-04-22,2026-04-22,TF_BUY_MOMENTUM,INTEGRATED,30.489999771118164,30.489999771118164,22.575,28.3332,22.575,28.333216256189928,MOMENTUM_RATCHET,42.36249942779541,50.277499198913574,TP_MOMENTUM_1P5R_2P5R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,28.333216256189928,1.0,1.0,30.489999771118164,28.333216256189928,28.333216256189928,28.333216256189928,['MM_INTEGRATED'],LEADERSHIP,100.0,PRIMARY,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_RATCHET']",1.0,0.5,v2,
TREND:TF_MOMENTUM:AESI:2026-04-22,all,TREND,TF_MOMENTUM,AESI,2026-04-22,2026-04-22,TF_BUY_MOMENTUM,TV_MARKET_LEADER,15.43000030517578,15.43000030517578,10.52,13.7447,10.52,13.528085878421722,MOMENTUM_RATCHET,22.79500076293945,27.70500106811523,TP_MOMENTUM_1P5R_2P5R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,13.528085878421722,1.0,1.0,15.43000030517578,13.528085878421722,13.528085878421722,13.528085878421722,"['TV_MARKET_LEADER', 'TV_HIGH_VOLATILITY']",LEADERSHIP,100.0,PRIMARY,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_RATCHET']",1.0,0.5,v2,
TREND:TF_MOMENTUM:AESI:2026-04-22,screened,TREND,TF_MOMENTUM,AESI,2026-04-22,2026-04-22,TF_BUY_MOMENTUM,TV_MARKET_LEADER,15.43000030517578,15.43000030517578,10.52,13.7447,10.52,13.528085878421722,MOMENTUM_RATCHET,22.79500076293945,27.70500106811523,TP_MOMENTUM_1P5R_2P5R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,13.528085878421722,1.0,1.0,15.43000030517578,13.528085878421722,13.528085878421722,13.528085878421722,"['TV_MARKET_LEADER', 'TV_HIGH_VOLATILITY']",LEADERSHIP,100.0,PRIMARY,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_RATCHET']",1.0,0.5,v2,
TREND:TF_MOMENTUM:AIPO:2026-04-22,all,TREND,TF_MOMENTUM,AIPO,2026-04-22,2026-04-22,TF_BUY_MOMENTUM,,30.149999618530277,30.149999618530277,23.65,28.5896,23.65,28.589598241046048,MOMENTUM_SWING,43.14999885559084,49.64999847412111,TP_MOMENTUM_2R_3R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,28.589598241046048,1.0,1.0,30.149999618530277,28.589598241046048,28.589598241046048,28.589598241046048,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_SWING']",1.0,0.5,v2,
TREND:TF_MOMENTUM:ALMU:2026-04-22,all,TREND,TF_MOMENTUM,ALMU,2026-04-22,2026-04-22,TF_BUY_MOMENTUM,,21.190000534057617,21.190000534057617,10.24,16.9406,10.24,16.436224923346067,MOMENTUM_RATCHET,37.61500133514404,48.56500186920166,TP_MOMENTUM_1P5R_2P5R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,16.436224923346067,1.0,1.0,21.190000534057617,16.436224923346067,16.436224923346067,16.436224923346067,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_RATCHET']",1.0,0.5,v2,
TREND:TF_MOMENTUM:AMD:2026-04-22,all,TREND,TF_MOMENTUM,AMD,2026-04-22,2026-04-22,TF_BUY_MOMENTUM,,303.4599914550781,303.4599914550781,192.87,268.4167,192.87,269.8721476963588,MOMENTUM_SWING_ATR_CHANDELIER,524.6399743652344,635.2299658203125,TP_MOMENTUM_2R_3R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,269.8721476963588,1.0,1.0,303.4599914550781,269.8721476963588,269.8721476963588,269.8721476963588,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_SWING_ATR_CHANDELIER']",1.0,0.5,v2,
TREND:TF_MOMENTUM:AMDL:2026-04-22,all,TREND,TF_MOMENTUM,AMDL,2026-04-22,2026-04-22,TF_BUY_MOMENTUM,,26.559999465942383,26.559999465942383,10.995,21.9616,10.995,21.727357796260286,MOMENTUM_RATCHET_ATR_CHANDELIER,49.90749866485596,65.47249813079834,TP_MOMENTUM_1P5R_2P5R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,21.727357796260286,1.0,1.0,26.559999465942383,21.727357796260286,21.727357796260286,21.727357796260286,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_RATCHET_ATR_CHANDELIER']",1.0,0.5,v2,
