symbol,met_count,fin_met_count,total_met_count,rs_score
IPX,8,7.0,15.0,96.6
COMM,8,6.0,14.0,96.56
DFEN,8,6.0,14.0,95.83
TBMCR,8,6.0,14.0,95.44
FBL,8,6.0,14.0,95.1
JBL,8,6.0,14.0,94.99
ARKW,8,6.0,14.0,94.87
METU,8,6.0,14.0,94.74
SMDD,8,6.0,14.0,94.58
ARKF,8,6.0,14.0,94.38
AIBU,8,6.0,14.0,94.22
SCC,8,6.0,14.0,94.03
BTFX,8,6.0,14.0,93.83
BTCL,8,6.0,14.0,93.76
BITU,8,6.0,14.0,93.42
WEBL,8,6.0,14.0,93.27
ARKK,8,6.0,14.0,92.76
NUKZ,8,6.0,14.0,92.73
ARKX,8,6.0,14.0,92.62
WWD,8,6.0,14.0,92.55
SHLD,8,6.0,14.0,92.31
ARKQ,8,6.0,14.0,92.25
FNGO,8,6.0,14.0,92.15
SPRX,8,6.0,14.0,92.07
FNGG,8,6.0,14.0,91.83
PSIL,8,6.0,14.0,91.76
BWEB,8,6.0,14.0,91.57
HODL,8,6.0,14.0,91.15
BTCW,8,6.0,14.0,91.13
EZBC,8,6.0,14.0,91.12
BRRR,8,6.0,14.0,91.08
BITB,8,6.0,14.0,91.07
BTCO,8,6.0,14.0,91.04
FBTC,8,6.0,14.0,91.02
IBIT,8,6.0,14.0,91.0
BUZZ,8,6.0,14.0,90.95
ALAI,8,6.0,14.0,90.92
DEFI,8,6.0,14.0,90.91
GBTC,8,6.0,14.0,90.86
CHAT,8,6.0,14.0,90.84
ATFV,8,6.0,14.0,90.42
ECNS,8,6.0,14.0,90.03
GAMR,8,6.0,14.0,90.01
VNM,8,6.0,14.0,89.93
METV,8,6.0,14.0,89.86
KURE,8,6.0,14.0,89.84
CNEQ,8,6.0,14.0,89.68
BNGE,8,6.0,14.0,89.66
RILYK,8,6.0,14.0,89.45
TRFK,8,6.0,14.0,89.31
FPX,8,6.0,14.0,89.18
XAR,8,6.0,14.0,89.04
TMAT,8,6.0,14.0,89.01
ESPO,8,6.0,14.0,88.99
BTRN,8,6.0,14.0,88.94
LOUP,8,6.0,14.0,88.66
UTES,8,6.0,14.0,88.4
ODDS,8,6.0,14.0,88.28
GSIB,8,6.0,14.0,88.22
ITA,8,6.0,14.0,88.18
PWRD,8,6.0,14.0,88.16
FOSLL,8,6.0,14.0,88.07
VNAM,8,6.0,14.0,87.94
CTBB,8,6.0,14.0,87.81
SOCL,8,6.0,14.0,87.71
ROKT,8,6.0,14.0,87.7
FCA,8,6.0,14.0,87.11
BETZ,8,6.0,14.0,87.0
IAI,8,6.0,14.0,86.96
IQM,8,6.0,14.0,86.92
ARTY,8,6.0,14.0,86.91
ONLN,8,6.0,14.0,86.75
FNGS,8,6.0,14.0,86.52
LTL,8,6.0,14.0,86.4
FFTY,8,6.0,14.0,86.24
WTAI,8,6.0,14.0,86.09
EWP,8,6.0,14.0,86.07
SIXG,8,6.0,14.0,86.03
SPMO,8,6.0,14.0,85.84
AGIX,8,6.0,14.0,85.78
ILDR,8,6.0,14.0,85.76
PPA,8,6.0,14.0,85.68
OGIG,8,6.0,14.0,85.51
IETC,8,6.0,14.0,85.48
MISL,8,6.0,14.0,85.47
GGME,8,6.0,14.0,85.3
SFYF,8,6.0,14.0,85.2
TPTA,8,6.0,14.0,85.11
JFBR,8,5.0,13.0,99.72
XTKG,8,5.0,13.0,99.0
DALN,8,5.0,13.0,98.4
TLSA,8,5.0,13.0,97.8
GOSS,8,5.0,13.0,97.07
TOYO,8,5.0,13.0,96.87
EVLV,8,5.0,13.0,96.24
ATRO,8,5.0,13.0,95.66
ESLT,8,5.0,13.0,95.28
TME,8,5.0,13.0,94.8
RDUS,8,5.0,13.0,93.96
ONC,8,5.0,13.0,91.19
TIGO,8,5.0,13.0,90.9
BPMC,8,5.0,13.0,90.78
BTI,8,5.0,13.0,90.66
PUK,8,5.0,13.0,90.61
CHN,8,5.0,13.0,90.16
AWI,8,5.0,13.0,89.3
KF,8,5.0,13.0,88.8
FLUT,8,5.0,13.0,88.78
PLYA,8,5.0,13.0,88.57
MTRX,8,5.0,13.0,88.52
LANV,8,5.0,13.0,88.11
FTI,8,5.0,13.0,87.37
INTU,8,5.0,13.0,87.23
RTX,8,5.0,13.0,86.86
SEZL,8,4.0,12.0,99.08
RGLS,8,4.0,12.0,99.04
TDUP,8,4.0,12.0,98.97
ALMU,8,4.0,12.0,98.92
HOOD,8,4.0,12.0,98.33
NVTS,8,4.0,12.0,98.28
PLTR,8,4.0,12.0,98.22
CLS,8,4.0,12.0,98.02
OCFT,8,4.0,12.0,97.76
HIMS,8,4.0,12.0,97.61
GEV,8,4.0,12.0,97.58
TTMI,8,4.0,12.0,97.24
RSI,8,4.0,12.0,95.82
VERV,8,4.0,12.0,95.72
CPSH,8,4.0,12.0,95.67
GHM,8,4.0,12.0,95.31
KEP,8,4.0,12.0,95.29
DASH,8,4.0,12.0,94.18
AHR,8,4.0,12.0,93.56
SANM,8,4.0,12.0,93.54
BBIO,8,4.0,12.0,93.22
TWLO,8,4.0,12.0,93.19
ERJ,8,4.0,12.0,93.09
COOP,8,4.0,12.0,93.04
APH,8,4.0,12.0,93.02
DCO,8,4.0,12.0,92.59
DNA,8,4.0,12.0,92.19
GTX,8,4.0,12.0,91.46
FSS,8,4.0,12.0,91.4
KGC,8,4.0,12.0,91.28
ZLAB,8,4.0,12.0,91.27
CALX,8,4.0,12.0,91.16
CHEF,8,4.0,12.0,91.14
SIMO,8,4.0,12.0,91.09
TEL,8,4.0,12.0,90.8
U,8,4.0,12.0,90.71
LPLA,8,4.0,12.0,90.5
ROKU,8,4.0,12.0,90.34
C,8,4.0,12.0,90.32
SXT,8,4.0,12.0,90.3
ROK,8,4.0,12.0,89.69
WRBY,8,4.0,12.0,89.56
NTRS,8,4.0,12.0,89.53
NPO,8,4.0,12.0,89.32
VEEV,8,4.0,12.0,88.36
RBKB,8,4.0,12.0,88.13
GTLS,8,4.0,12.0,88.01
WTS,8,4.0,12.0,87.47
FROG,8,4.0,12.0,87.4
VIRT,8,4.0,12.0,87.36
NCSM,8,4.0,12.0,86.59
PFGC,8,4.0,12.0,86.49
ALG,8,4.0,12.0,86.43
BKD,8,4.0,12.0,86.02
ZG,8,4.0,12.0,85.94
RBC,8,4.0,12.0,85.8
R,8,4.0,12.0,85.1
WW,8,0.0,8.0,99.98
LYEL,8,0.0,8.0,99.89
PXLW,8,0.0,8.0,99.85
AYRO,8,0.0,8.0,99.7
IKNA,8,0.0,8.0,99.67
FLYE,8,0.0,8.0,99.59
ABVX,8,0.0,8.0,99.46
RAPT,8,0.0,8.0,99.37
TGEN,8,0.0,8.0,99.26
FIG,8,0.0,8.0,99.1
ZEPP,8,0.0,8.0,99.02
TOI,8,0.0,8.0,99.01
TSSI,8,0.0,8.0,98.9
SVT,8,0.0,8.0,98.85
PSIX,8,0.0,8.0,98.82
DAVE,8,0.0,8.0,98.81
OKLO,8,0.0,8.0,98.78
CDTX,8,0.0,8.0,98.74
RKLB,8,0.0,8.0,98.64
MP,8,0.0,8.0,98.44
SMR,8,0.0,8.0,98.39
ATAI,8,0.0,8.0,98.21
CRDO,8,0.0,8.0,98.13
VIGL,8,0.0,8.0,98.12
TZUP,8,0.0,8.0,98.07
JOBY,8,0.0,8.0,98.03
SATX,8,0.0,8.0,97.99
PGY,8,0.0,8.0,97.96
VRNA,8,0.0,8.0,97.89
DIST,8,0.0,8.0,97.88
BE,8,0.0,8.0,97.87
ASTS,8,0.0,8.0,97.84
RBLX,8,0.0,8.0,97.83
VIOT,8,0.0,8.0,97.79
XGN,8,0.0,8.0,97.75
FORD,8,0.0,8.0,97.74
WLDN,8,0.0,8.0,97.4
OSS,8,0.0,8.0,97.23
ISSC,8,0.0,8.0,97.22
THM,8,0.0,8.0,97.16
TLN,8,0.0,8.0,97.14
LASR,8,0.0,8.0,97.12
DOMO,8,0.0,8.0,97.09
ASPI,8,0.0,8.0,97.01
UCL,8,0.0,8.0,96.99
IOBT,8,0.0,8.0,96.97
KTOS,8,0.0,8.0,96.96
PVLA,8,0.0,8.0,96.95
MGRM,8,0.0,8.0,96.94
GOGO,8,0.0,8.0,96.91
SOFI,8,0.0,8.0,96.89
ELVA,8,0.0,8.0,96.86
FARO,8,0.0,8.0,96.84
NET,8,0.0,8.0,96.82
ICAD,8,0.0,8.0,96.75
INOD,8,0.0,8.0,96.74
AGX,8,0.0,8.0,96.72
WGS,8,0.0,8.0,96.67
SLGL,8,0.0,8.0,96.66
RFIL,8,0.0,8.0,96.65
SIFY,8,0.0,8.0,96.63
CVNA,8,0.0,8.0,96.54
SNES,8,0.0,8.0,96.38
CFSB,8,0.0,8.0,96.27
TPR,8,0.0,8.0,96.26
UUU,8,0.0,8.0,96.25
LIF,8,0.0,8.0,96.19
ELTX,8,0.0,8.0,96.08
GROY,8,0.0,8.0,96.07
PLBY,8,0.0,8.0,95.99
SRAD,8,0.0,8.0,95.97
FUTU,8,0.0,8.0,95.94
IHS,8,0.0,8.0,95.93
BELFB,8,0.0,8.0,95.92
ALNT,8,0.0,8.0,95.91
SEI,8,0.0,8.0,95.87
INDV,8,0.0,8.0,95.84
RBRK,8,0.0,8.0,95.81
VST,8,0.0,8.0,95.79
CCRD,8,0.0,8.0,95.68
VFF,8,0.0,8.0,95.6
TRVI,8,0.0,8.0,95.57
NRG,8,0.0,8.0,95.55
RMNI,8,0.0,8.0,95.47
FEIM,8,0.0,8.0,95.46
CKPT,8,0.0,8.0,95.43
OLO,8,0.0,8.0,95.36
FIVE,8,0.0,8.0,95.21
MIND,8,0.0,8.0,95.2
KEN,8,0.0,8.0,95.15
QD,8,0.0,8.0,95.06
STX,8,0.0,8.0,94.98
WILC,8,0.0,8.0,94.94
DB,8,0.0,8.0,94.9
CLBR,8,0.0,8.0,94.83
CPS,8,0.0,8.0,94.79
AVGO,8,0.0,8.0,94.71
HNRG,8,0.0,8.0,94.7
COEP,8,0.0,8.0,94.68
DXPE,8,0.0,8.0,94.62
ACMR,8,0.0,8.0,94.59
AFRM,8,0.0,8.0,94.55
EOSE,8,0.0,8.0,94.51
TPB,8,0.0,8.0,94.48
IH,8,0.0,8.0,94.46
AXIL,8,0.0,8.0,94.41
MIR,8,0.0,8.0,94.4
ABCL,8,0.0,8.0,94.37
REVG,8,0.0,8.0,94.29
IDCC,8,0.0,8.0,94.16
URBN,8,0.0,8.0,94.15
UI,8,0.0,8.0,94.14
AAMI,8,0.0,8.0,94.02
TATT,8,0.0,8.0,94.01
FRHC,8,0.0,8.0,94.0
SMCI,8,0.0,8.0,93.94
NEXT,8,0.0,8.0,93.8
DOUG,8,0.0,8.0,93.61
YALA,8,0.0,8.0,93.6
RYTM,8,0.0,8.0,93.57
WBD,8,0.0,8.0,93.52
SNOW,8,0.0,8.0,93.48
HEES,8,0.0,8.0,93.46
COUR,8,0.0,8.0,93.4
SOC,8,0.0,8.0,93.36
ALNY,8,0.0,8.0,93.24
EMX,8,0.0,8.0,93.21
LTM,8,0.0,8.0,93.13
LINC,8,0.0,8.0,93.11
VSEC,8,0.0,8.0,93.08
TOST,8,0.0,8.0,93.07
VEON,8,0.0,8.0,93.05
GHLD,8,0.0,8.0,93.0
DY,8,0.0,8.0,92.97
SLNO,8,0.0,8.0,92.96
ACAD,8,0.0,8.0,92.94
MTZ,8,0.0,8.0,92.86
RMBS,8,0.0,8.0,92.79
CEG,8,0.0,8.0,92.75
BH,8,0.0,8.0,92.71
AVXL,8,0.0,8.0,92.67
CW,8,0.0,8.0,92.53
INSM,8,0.0,8.0,92.48
CTOS,8,0.0,8.0,92.47
LQDA,8,0.0,8.0,92.41
CX,8,0.0,8.0,92.35
SENEB,8,0.0,8.0,92.14
SENEA,8,0.0,8.0,92.13
AAME,8,0.0,8.0,92.09
BWMN,8,0.0,8.0,92.06
EBAY,8,0.0,8.0,91.98
VIK,8,0.0,8.0,91.93
GE,8,0.0,8.0,91.79
SHOP,8,0.0,8.0,91.74
SSBI,8,0.0,8.0,91.7
LLYVK,8,0.0,8.0,91.66
DLTR,8,0.0,8.0,91.61
LLYVA,8,0.0,8.0,91.55
BBVA,8,0.0,8.0,91.5
GLW,8,0.0,8.0,91.36
MYRG,8,0.0,8.0,91.34
RL,8,0.0,8.0,91.3
X,8,0.0,8.0,91.23
BCS,8,0.0,8.0,91.2
SATS,8,0.0,8.0,91.06
CIEN,8,0.0,8.0,90.99
ESE,8,0.0,8.0,90.96
SNEX,8,0.0,8.0,90.72
META,8,0.0,8.0,90.54
ULS,8,0.0,8.0,90.49
OR,8,0.0,8.0,90.33
RYAAY,8,0.0,8.0,90.27
TSM,8,0.0,8.0,90.23
GEL,8,0.0,8.0,90.0
TRMB,8,0.0,8.0,89.96
HDSN,8,0.0,8.0,89.81
OLLI,8,0.0,8.0,89.8
