symbol,score,rank,price_momentum_20d,rsi_14,relative_strength
WW,0.8237584068164713,1,12678.501013133311,49.68454540221691,34249.298629621706
STEM,0.4478295990938733,2,143.49919791091745,65.96267292257072,21877.2288527099
NKTR,0.43469273132060804,3,-11.339010401988485,48.051945263897736,19419.944421089815
GORV,0.3946666898756135,4,2506.5574024784664,36.263233848897485,11098.811479502414
LYEL,0.3946071978206591,5,45.588231486527945,65.9472446467871,15721.465823573868
SPRC,0.3694374206858078,6,2.4345416712298764,46.53465355883488,16290.38517555457
SRM,0.3400517036850229,7,19.677414432648664,58.9266906134467,13960.937523617962
FGEN,0.3239321787041194,8,35.47168999899774,60.64516188574896,13532.207255870724
PXLW,0.3053603437750541,9,52.07439860531608,67.29810747462946,12207.236018610309
PASG,0.2902630187128697,10,1485.000014528632,33.413592844329884,10453.528986325837
HUSA,0.2893661765348131,11,11.425873661118725,60.86434711268548,9854.10742233326
INDP,0.2825661651312809,12,-9.658121786839748,22.011001366026832,9419.96819794728
TRUG,0.2753255609541937,13,-2.797200232183025,53.166420183738936,9711.726779278277
SNSE,0.2687376430587516,14,-20.745917818170987,11.066948998025993,10953.553904216338
BOLT,0.26114381700925066,15,6.239170445484084,48.40989941092908,9897.014026176006
IKNA,0.2473388960897435,16,1180.5969716393101,88.20686466814001,9186.787816528536
SLXN,0.24468317629503558,17,1432.098742084448,92.5673722200445,11653.38445655961
ETHT,0.24387646989331774,18,112.13887741171334,79.17329968312532,7376.432230342914
WBX,0.23930211367533807,19,1642.1384141733852,33.463031842898246,7803.927497721404
INUV,0.23816575411811441,20,9.782615118080951,51.44928274873841,11488.115348580825
AYRO,0.23369286009845527,21,1.8995976322479087,60.289853349801035,9324.751245738687
FLYE,0.21092425819279864,22,27.322700205802807,73.3766212654792,8034.628040214949
VLCN,0.20550859073414166,23,75.86206471310504,59.42847595476061,5068.636673682636
GTLS,0.20235790098371104,24,20.740972014091653,79.16339745879017,288.03485712587127
RAPT,0.18910972822505817,25,44.12499666213989,64.9854497623677,6627.516533788717
SLE,0.18825446147952682,26,2.6968714957357283,40.54529542434233,6295.343428271003
JFBR,0.17660475193206382,27,9.171354478356273,48.582347669992274,10656.162623658438
LIXTW,0.17533736304401965,28,693.1034854844721,50.27829367399319,6460.082100868766
ASPS,0.17060276520967788,29,16.06096047416731,31.366464716827934,7422.410033459896
ABVX,0.1686651609531518,30,812.4183291713448,94.44845420202932,6373.862844735661
CLRO,0.16661070868273764,31,-6.956523397694463,2.4637691875987144,6781.101767073534
ARBB,0.1611449423496019,32,-20.828440114247606,41.88790114426777,8157.008582823939
BREA,0.15998141776256578,33,-13.157894901951927,45.90163886370892,6550.3749454825975
LIDRW,0.15675315539206944,34,202.3529371547041,66.31578962503488,8843.900213716906
SUPX,0.15250266510283583,35,59.762146634843496,91.80088620501007,1554.8935550726815
JUNE,0.15214595179701632,36,59.762146634843496,91.80088620501007,1554.8935550726815
AMZE,0.1484909481930485,37,-44.77434616112112,25.825078875839736,5343.822379051068
FULC,0.14094796738630505,38,10.319767824664762,43.79845534327471,697.597045782443
BULLW,0.13861334472013154,39,35.51980089923935,53.110460929171595,8307.765656266269
KULR,0.1315089071841175,40,-21.458628124136027,39.70944572710671,7304.595003379325
TMCWW,0.13120925272181616,41,12.244894152695258,53.36538420207578,7920.089893143148
DBVT,0.12031139966950988,42,6.986903427772079,32.65896248504367,3552.768133642099
EKSO,0.11347374663088557,43,0.0,46.070461790229935,3181.028797702822
IXHL,0.10777006615231635,44,395.37038180430295,68.49673193532834,1764.5155369541797
XGN,0.10730772238900399,45,21.06016885637166,77.93102699851457,1107.6671954600158
QBTS,0.10596764578239606,46,20.69671900214922,54.92308100864147,6014.979069281808
SY,0.10469933976419993,47,61.290327542530406,56.57370430887956,3841.076667649265
HYPD,0.10378622744611941,48,-15.606935141602719,44.48069685950749,2190.31358907064
QUBT,0.10315982639864624,49,-19.822640457023414,34.78612260185396,5905.467911490145
CYBR,0.1019324613994792,50,6.7833281980678395,62.56786248394902,294.7974273634359
BMNR,0.09705726058113967,51,-5.604724012854291,16.692249241122653,3985.4803428861837
SBET,0.08815663196645913,52,92.14500843228625,52.353215708766186,2829.8342943479365
LLYVA,0.08782930393320217,53,4.831399315178357,76.91098790237731,378.05842288489634
SANM,0.08758274130130042,54,23.43861788408658,70.21028249792064,491.19777870840926
UUU,0.08717694552223494,55,16.7213114241508,48.57143019332337,826.0738023737335
AIRT,0.08701990566644646,56,6.3153083834340915,53.77438463300585,225.70102603983696
DDC,0.08693342730122763,57,33.11927281368408,56.54940136591006,2255.6167045275106
VRSN,0.0868704647638324,58,-3.923125710236429,41.73057865969824,214.587104108343
ELPC,0.08596012131037345,59,-8.215965357894252,41.449816399841524,169.49101346114733
RGLS,0.08447767239191974,60,2.900378613522272,52.499976158157246,3346.073196905475
TGI,0.08297193991788548,61,1.0882265512126592,71.11140310350092,276.13228435686807
ELVA,0.08247711243597518,62,46.33430045508582,81.2765925499365,802.6612048659034
ZEPP,0.08245230951858709,63,372.5563642566105,68.07414990022515,2975.04741892382
AWI,0.08165392229118613,64,13.678897369333686,74.87211630299021,247.52779686383062
EXEL,0.08155897886097864,65,-16.197828738100288,28.115401052613066,155.51043319907586
DEFI,0.08124527007809436,66,9.457273084156276,61.48809784464428,335.967963662373
CLS,0.07965295636069182,67,29.395938255223797,76.72302299454057,1416.1106777288094
AIMD,0.07848377357321373,68,-13.780914381611273,15.596335091360217,2588.596807862612
LI,0.07803105040127625,69,0.9959370871867395,51.02880077016074,143.80077419262665
ZOOZ,0.07778767032288969,70,91.76706648257846,59.36254899661994,-23.905780766003986
RGTI,0.07665251716496337,71,22.00675114591692,54.45269124203896,4115.09028575344
AXGN,0.07658301721671627,72,23.778800304120978,66.60039610658245,-29.869757126030706
SVT,0.07643023843685037,73,0.5139140467851631,64.10203742284915,2686.2634229231558
TGEN,0.07631525362389782,74,9.264700293128621,42.111650632917545,3758.691064273849
CECO,0.07583322498434622,75,42.52913894492691,89.06378270956299,477.2664452507783
MLGO,0.07578790107078695,76,1866.6012108525417,64.8152901126649,948.3924503592356
TV,0.07513901866258105,77,14.155248158896944,67.41571107338089,199.0593569795251
WGS,0.07422206750227847,78,-0.5741510056486271,49.85363212763075,332.78108058224745
TRS,0.07407795013006407,79,21.880455043640364,84.70256824921768,315.78321642320157
LASR,0.07278227918899507,80,5.1829290749320505,67.75957670045926,961.5244399293747
ICCC,0.07167707024690485,81,-6.752877362827448,42.44185079426686,330.7225390913116
NSC,0.0708406566030811,82,8.48928033859406,66.41263722269713,132.9554991672783
UFO,0.07065429700607645,83,3.4620767124476677,48.36107096276097,340.0325849261976
USG,0.06982646170061368,84,0.7475622350660849,49.64594279860258,85.55883590711495
GLW,0.06980347754204987,85,17.855104320980626,83.53529303166306,291.6308051982723
TSSI,0.06842977844128112,86,-17.828648641174517,47.79627910096067,2486.6618269290384
TNGX,0.06769465305114364,87,26.074220077862293,58.35009137610651,1360.4386777609193
HOUS,0.0666897586079078,88,43.64640811202776,80.58253326114418,331.8068941027841
PSIX,0.06660461802794446,89,36.28633443099261,70.98680226328199,2545.427169968997
TDTH,0.06657701135582697,90,457.851252544204,66.5899378560335,50.0
SOFI,0.06565920699502957,91,23.009339619519036,67.52411476962183,797.0947047083874
ROMA,0.06553559699322994,92,27.90697398108729,54.09129623402391,2901.907850668634
TOI,0.06550390254948213,93,76.58536437861197,73.25581094478076,3363.562743659265
IPA,0.0650874327972189,94,62.73586009057207,46.355140720020685,1831.1965916670767
AMPX,0.06505219589464468,95,69.59619481685942,61.52343500798469,2398.8301391840173
QURE,0.06442545931570037,96,-1.8651311551931355,40.48000480956957,267.04021518182293
CVLT,0.06428199965473737,97,10.864453761528212,63.60743556642542,247.55395322509438
CBRE,0.06412059140685762,98,12.796180816003302,80.72524667374095,217.37986279590925
ALMU,0.06409670464215063,99,36.95784316981053,69.23076143144378,2687.250525026248
AEVA,0.0640234817055955,100,-45.93807935902589,28.42451665658332,2688.7965899275196
NVTS,0.06376604402370827,101,14.80915667092253,60.18692021932733,1676.8193577576578
PRCH,0.06295832348230648,102,8.651403401729604,49.3031365252958,2929.112015909376
AIP,0.062434638101854865,103,11.227709113113901,64.37345965256279,304.14814738646027
AJG,0.062078692501680216,104,-9.924400068181221,29.871311985655637,-29.55141253601804
RMBS,0.06140469258014469,105,14.26117675968562,67.78722379174818,357.13829591376975
STVN,0.060909860120415285,106,3.4383959971131346,50.05107367721316,211.46205692549168
APYX,0.06069546529888194,107,-12.888887193467871,39.61038991198174,622.6524441593908
LLYVK,0.06068291819084028,108,5.717101010697321,78.5124004840164,379.07650557752277
OKLO,0.06061977485997149,109,26.826218981058215,69.2776531088489,2398.1324131343376
LEU,0.06017132653279866,110,22.327770930564593,64.87853649693784,1983.8129899497455
TMC,0.0598070065788857,111,0.15151862161114177,53.05755509827218,2579.6361488418074
CFSB,0.05948611491532926,112,1.3414991293445382,68.51844656764874,712.1866733006034
