symbol,company_name,ipo_date,filing_date,price_range,shares_offered,exchange,type,source,form_type,cik,accession_number,file_description,business_address,sic_code,fiscal_year_end
N/A,Quantumsphere Acquisition Corp  (QUMS)  (CIK 0002070900),2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002070900,,S-1/A,N/A,,
N/A,21Shares Core Solana ETF  (CIK 0002028834),2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002028834,,AMENDMENT NO. 2 TO FORM S-1,N/A,,
N/A,Alpha One Inc.  (AOAO)  (CIK 0002042320),2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002042320,,S-1/A,N/A,,
N/A,"Picard Medical, Inc.  (PMI)  (CIK 0002030617)",2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002030617,,S-1/A,N/A,,
N/A,HCM III ACQUISITION CORP.  (HCMA)  (CIK 0002069856),2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002069856,,REGISTRATION STATEMENT,N/A,,
N/A,INTERNATIONAL BATTERY METALS LTD.  (IBATF)  (CIK 0001786318),2025-07-30,2025-07-30,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001786318,,S-1/A,N/A,,
N/A,"WhiteFiber, Inc.  (WYFI)  (CIK 0002042022)",2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002042022,,REGISTRATION STATEMENT,N/A,,
N/A,Quantum Computing Inc.  (QUBT)  (CIK 0001758009),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001758009,,REGISTRATION STATEMENT,N/A,,
N/A,"Blaize Holdings, Inc.  (BZAI, BZAIW)  (CIK 0001871638)",2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001871638,,S-1/A,N/A,,
N/A,QDM International Inc.  (QDMI)  (CIK 0001094032),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001094032,,REGISTRATION STATEMENT,N/A,,
N/A,Lionsgate Studios Corp.  (LION)  (CIK 0002052959),2025-07-29,2025-07-29,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002052959,,S-1/A,N/A,,
