bucket,intent,implementation_a,implementation_b,status,risk,recommended_action,decision,owner_candidate,consumer_candidate,evidence_a,evidence_b,notes
"Leader / Group / Deterioration","Leader group truth","invest: leader_lagging local group table; weinstein local group contexts","core: industry_rotation_v2 plus leader_kernel_v1 group rows and compat industry_rotation export","partially-overlapping","high","unify-core","Must Unify","market-intel-core","invest-prototype-main leader_lagging, weinstein, signals","screeners/leader_lagging/screener.py; screeners/weinstein_stage2/screener.py; tests/test_leader_lagging_screener.py; tests/test_weinstein_stage2_screener.py","market_intel/core/engines/industry_rotation/v2.py; market_intel/core/engines/leader/leader_kernel_v1.py; tests/test_market_intel_leader_kernel_v1.py; tests/test_market_intel_invest_prototype_exports.py","Prototype still carries local group overlays, but canonical group truth now exists in core."
"Leader / Group / Deterioration","Leader stock truth","invest: leader_lagging leader score and labels; signals metric overlays","core: leader_kernel_v1 leader_score and leader_state","divergent","high","unify-core","Must Unify","market-intel-core","invest-prototype-main leader_lagging, signals","screeners/leader_lagging/screener.py; screeners/signals/engine.py; tests/test_leader_lagging_screener.py","market_intel/core/engines/leader/leader_kernel_v1.py; tests/test_market_intel_leader_kernel_v1.py","Same leadership truth is still represented in two scoring systems."
"Leader / Group / Deterioration","Leader deterioration truth","invest: local reject or fail semantics and prototype breakdown consumers","core: leader_kernel_v1 breakdown_score and breakdown_status plus regime leader_health_overlay","bridge-only","medium","bridge","Should Bridge","market-intel-core","invest-prototype-main signals and screeners","screeners/leader_core_bridge.py; screeners/signals/source_registry.py; tests/test_market_intel_bridge.py","market_intel/core/engines/leader/leader_kernel_v1.py; market_intel/core/engines/regime/leader_health_overlay.py; tests/test_market_intel_leader_health_overlay.py","Core already owns the canonical deterioration surface; prototype should consume it."
"Market State / Regime / Risk-On-Off","Global market aggressiveness gate","invest: leader_lagging Risk-On or Neutral or Risk-Off; weinstein MARKET_STAGE2_FAVORABLE or STAGE4_RISK; qullamaggie RISK_ON family; signals market_condition_state","core: regime.snapshot_v1 state and top_state and readout plus leadership_state","divergent","high","unify-core","Must Unify","market-intel-core","invest-prototype-main screeners and signals","screeners/leader_lagging/screener.py; screeners/weinstein_stage2/screener.py; screeners/qullamaggie/core.py; screeners/signals/engine.py; tests/test_qullamaggie_screener.py; tests/test_weinstein_stage2_screener.py","market_intel/core/engines/regime/snapshot_v1.py; market_intel/core/engines/regime/snapshot_axes_v1.py; market_intel/core/engines/regime/leader_health_overlay.py; config/market_intel.yaml","Prototype still has several tactical market-state dialects. Core should own the global truth."
"Breadth / Participation / Concentration","Breadth and participation truth","invest: leader_lagging breadth; weinstein breadth150 market and group; qullamaggie breadth_score","core: breadth_v2 plus snapshot breadth_state and concentration_state","partially-overlapping","high","unify-core","Must Unify","market-intel-core","invest-prototype-main local overlays only","screeners/leader_lagging/screener.py; screeners/weinstein_stage2/screener.py; screeners/qullamaggie/core.py","market_intel/core/engines/breadth; market_intel/core/engines/regime/snapshot_axes_v1.py; config/market_intel.yaml","Local breadth remains useful, but market-level breadth truth should be single-owned."
"Rotation / Ranking","Industry and group rotation ranking","invest: leader_lagging group_strength_score and group_rank and top-group share; weinstein group_overlay_score","core: industry_rotation_v2 and leader_kernel_v1 group strength blend","partially-overlapping","high","unify-core","Must Unify","market-intel-core","invest-prototype-main leader_lagging and weinstein","screeners/leader_lagging/screener.py; screeners/weinstein_stage2/screener.py","market_intel/core/engines/industry_rotation/v2.py; market_intel/core/engines/leader/leader_kernel_v1.py","Canonical group ranking should stay in core; prototype overlay scores can remain local."
"Setup / Actionability / Conviction","Tradability and actionability","invest: signals conviction_grade and conviction_reason; weinstein timing_state; TF or UG setup flags","core: leader.setup_v2 actionability_score and actionability_band and filter_decision","divergent","medium","keep-separate","Safe To Keep Separate","split by layer","core consumes for intel; prototype consumes for entry timing","screeners/signals/engine.py; screeners/weinstein_stage2/screener.py; tests/test_signal_engine_restoration.py; tests/test_weinstein_stage2_screener.py","market_intel/core/engines/leader/setup_v2.py; docs/research/inputs/2026-03-30-leader-setup-v2-research-brief.md","These are adjacent concepts but not the same layer."
"Setup / Actionability / Conviction","Position sizing recommendation","invest internal A: signals _buy_sizing_overlay","invest internal B: qullamaggie _position_size_hint","divergent","medium","deprecate","Should Bridge","invest-prototype-main","signals plus qullamaggie","screeners/signals/engine.py; tests/test_signal_engine_restoration.py","screeners/qullamaggie/core.py; tests/test_qullamaggie_screener.py","Prototype should converge on one canonical user-facing sizing surface."
"Theme / Group Semantics","Theme-like grouping semantics","invest: group_name and industry_key display semantics plus same_theme heuristic in leader_lagging","core: theme_rotation_v2 plus theme.graph_v2","divergent","medium","deprecate","Doc/Test Drift Only","market-intel-core","invest-prototype-main display and explanation layers","screeners/leader_lagging/screener.py","market_intel/core/engines/theme_rotation/v2.py; market_intel/core/engines/theme/graph_v2.py","Local same_theme is sector equality, not canonical theme truth."
"Risk / Hazard / Breakdown / Sell-quality","Risk warning and failure semantics","invest: buy_warning_summary and risk_flag and breakout failure and sell-quality state","core: hazard.multifactor_v4 and hazard_v5","divergent","low","keep-separate","Safe To Keep Separate","split by layer","prototype trade lifecycle and core market risk","screeners/signals/engine.py; screeners/leader_lagging/screener.py","market_intel/core/engines/hazard/multifactor_v4.py; market_intel/core/engines/hazard/hazard_v5.py","These look similar but drive different decisions."
