doc_path,family,module,code_paths,tests,algorithm_fidelity_lens,high_end_reference,raw_sources
docs/runtime/pipeline-and-collection/pipeline-and-collection-subsystem-prd.md,pipeline-and-collection,,main.py; orchestrator/tasks.py; data_collector.py; data_collectors/kr_ohlcv_collector.py; data_collectors/stock_metadata_collector.py; utils/market_runtime.py; utils/market_data_contract.py,tests/test_main_market_resolution.py; tests/test_orchestrator_tasks.py; tests/test_market_runtime.py; tests/test_market_data_contract.py; tests/test_kr_ohlcv_collector.py; tests/test_stock_metadata_collector.py,Task registry is still conditional-code driven.; Lineage/readiness is not yet a first-class manifest.; Scheduler path is still effectively US-first.,"Higher-end target: typed task registry, explicit lineage manifests, cleaner provider/readiness model.",README.md; docs/archive/raw-sources/PRD/; docs/archive/raw-sources/Reference/
docs/runtime/pipeline-and-collection/pipeline-and-collection-subsystem-system-design.md,pipeline-and-collection,,main.py; orchestrator/tasks.py; data_collector.py; data_collectors/kr_ohlcv_collector.py; data_collectors/stock_metadata_collector.py; utils/market_runtime.py; utils/market_data_contract.py,tests/test_main_market_resolution.py; tests/test_orchestrator_tasks.py; tests/test_market_runtime.py; tests/test_market_data_contract.py; tests/test_kr_ohlcv_collector.py; tests/test_stock_metadata_collector.py,Task registry is still conditional-code driven.; Lineage/readiness is not yet a first-class manifest.; Scheduler path is still effectively US-first.,"Higher-end target: typed task registry, explicit lineage manifests, cleaner provider/readiness model.",README.md; docs/archive/raw-sources/PRD/; docs/archive/raw-sources/Reference/
docs/runtime/pipeline-and-collection/pipeline-and-collection-runtime-audit.md,pipeline-and-collection,,main.py; orchestrator/tasks.py; data_collector.py; data_collectors/kr_ohlcv_collector.py; data_collectors/stock_metadata_collector.py; utils/market_runtime.py; utils/market_data_contract.py,tests/test_main_market_resolution.py; tests/test_orchestrator_tasks.py; tests/test_market_runtime.py; tests/test_market_data_contract.py; tests/test_kr_ohlcv_collector.py; tests/test_stock_metadata_collector.py,Task registry is still conditional-code driven.; Lineage/readiness is not yet a first-class manifest.; Scheduler path is still effectively US-first.,"Higher-end target: typed task registry, explicit lineage manifests, cleaner provider/readiness model.",README.md; docs/archive/raw-sources/PRD/; docs/archive/raw-sources/Reference/
docs/runtime/pipeline-and-collection/pipeline-and-collection-runtime-status.md,pipeline-and-collection,,main.py; orchestrator/tasks.py; data_collector.py; data_collectors/kr_ohlcv_collector.py; data_collectors/stock_metadata_collector.py; utils/market_runtime.py; utils/market_data_contract.py,tests/test_main_market_resolution.py; tests/test_orchestrator_tasks.py; tests/test_market_runtime.py; tests/test_market_data_contract.py; tests/test_kr_ohlcv_collector.py; tests/test_stock_metadata_collector.py,Task registry is still conditional-code driven.; Lineage/readiness is not yet a first-class manifest.; Scheduler path is still effectively US-first.,"Higher-end target: typed task registry, explicit lineage manifests, cleaner provider/readiness model.",README.md; docs/archive/raw-sources/PRD/; docs/archive/raw-sources/Reference/
docs/runtime/pipeline-and-collection/task-runner-and-market-contracts/task-runner-and-market-contracts-prd.md,pipeline-and-collection,task-runner-and-market-contracts,main.py; orchestrator/tasks.py; utils/market_runtime.py,tests/test_main_market_resolution.py; tests/test_orchestrator_tasks.py; tests/test_market_runtime.py,High fidelity; current contract is pinned by tests.,Declarative task registry and typed schedule profiles.,
docs/runtime/pipeline-and-collection/task-runner-and-market-contracts/task-runner-and-market-contracts-design.md,pipeline-and-collection,task-runner-and-market-contracts,main.py; orchestrator/tasks.py; utils/market_runtime.py,tests/test_main_market_resolution.py; tests/test_orchestrator_tasks.py; tests/test_market_runtime.py,High fidelity; current contract is pinned by tests.,Declarative task registry and typed schedule profiles.,
docs/runtime/pipeline-and-collection/task-runner-and-market-contracts/task-runner-and-market-contracts-technical-specification.md,pipeline-and-collection,task-runner-and-market-contracts,main.py; orchestrator/tasks.py; utils/market_runtime.py,tests/test_main_market_resolution.py; tests/test_orchestrator_tasks.py; tests/test_market_runtime.py,High fidelity; current contract is pinned by tests.,Declarative task registry and typed schedule profiles.,
docs/runtime/pipeline-and-collection/task-runner-and-market-contracts/task-runner-and-market-contracts-runtime-spec.md,pipeline-and-collection,task-runner-and-market-contracts,main.py; orchestrator/tasks.py; utils/market_runtime.py,tests/test_main_market_resolution.py; tests/test_orchestrator_tasks.py; tests/test_market_runtime.py,High fidelity; current contract is pinned by tests.,Declarative task registry and typed schedule profiles.,
docs/runtime/pipeline-and-collection/task-runner-and-market-contracts/task-runner-and-market-contracts-erd.md,pipeline-and-collection,task-runner-and-market-contracts,main.py; orchestrator/tasks.py; utils/market_runtime.py,tests/test_main_market_resolution.py; tests/test_orchestrator_tasks.py; tests/test_market_runtime.py,High fidelity; current contract is pinned by tests.,Declarative task registry and typed schedule profiles.,
docs/runtime/pipeline-and-collection/ohlcv-and-metadata-collection/ohlcv-and-metadata-collection-prd.md,pipeline-and-collection,ohlcv-and-metadata-collection,data_collector.py; data_collectors/kr_ohlcv_collector.py; data_collectors/stock_metadata_collector.py; data_collectors/symbol_universe.py,tests/test_kr_ohlcv_collector.py; tests/test_stock_metadata_collector.py; tests/test_data_collector_symbol_universe.py; tests/test_data_collector_rate_limit.py,Medium-high fidelity; provider semantics still include heuristics.,Stronger lineage and typed provider status.,
