종목명,매수일,시장 진입가,비중(%),수익률(%),차익실현,손절매,수익보호,롱여부,현재가,최고가,최저가,트레일링 손절가
GE,2025-05-28,223.36,10.00%,0.00,종가 > 10일 ATR 상단 또는 6일 후 강제매도,208.57,없음,True,232.7899932861328,232.7899932861328,232.7899932861328,
BOOT,2025-05-28,154.79,10.00%,0.00,종가 > 10일 ATR 상단 또는 6일 후 강제매도,126.78,없음,True,156.9600067138672,156.9600067138672,156.9600067138672,
NVDA,2025-05-28,128.85,10.00%,0.00,종가 > 10일 ATR 상단 또는 6일 후 강제매도,115.17,없음,True,131.2899932861328,131.2899932861328,131.2899932861328,
OKLO,2025-05-28,38.53,6.28%,0.00,종가 > 10일 ATR 상단 또는 6일 후 강제매도,26.26,없음,True,48.869998931884766,48.869998931884766,48.869998931884766,
FFIV,2025-05-28,275.95,10.00%,0.00,종가 > 10일 ATR 상단 또는 6일 후 강제매도,259.66,없음,True,282.1000061035156,282.1000061035156,282.1000061035156,
NRG,2025-05-28,150.63,10.00%,0.00,종가 > 10일 ATR 상단 또는 6일 후 강제매도,127.42,없음,True,157.82000732421875,157.82000732421875,157.82000732421875,
HCA,2025-05-28,365.34,10.00%,0.00,종가 > 10일 ATR 상단 또는 6일 후 강제매도,338.05,없음,True,376.5899963378906,376.5899963378906,376.5899963378906,
WING,2025-05-28,311.51,10.00%,0.00,종가 > 10일 ATR 상단 또는 6일 후 강제매도,274.67,없음,True,322.4700012207031,322.4700012207031,322.4700012207031,
PI,2025-05-28,111.75,10.00%,0.00,종가 > 10일 ATR 상단 또는 6일 후 강제매도,93.49,없음,True,112.0,112.0,112.0,
CVNA,2025-05-28,293.18,10.00%,0.00,종가 > 10일 ATR 상단 또는 6일 후 강제매도,250.27,없음,True,304.1099853515625,304.1099853515625,304.1099853515625,
